nth vaddr      bind type lib          name
37  0x004493a4 NONE FUNC gdi32.dll    GetClipBox
38  0x004493a8 NONE FUNC gdi32.dll    GetBrushOrgEx
39  0x004493ac NONE FUNC gdi32.dll    GetBitmapBits
40  0x004493b0 NONE FUNC gdi32.dll    ExcludeClipRect
41  0x004493b4 NONE FUNC gdi32.dll    DeleteObject
42  0x004493b8 NONE FUNC gdi32.dll    DeleteDC
43  0x004493bc NONE FUNC gdi32.dll    CreateSolidBrush
44  0x004493c0 NONE FUNC gdi32.dll    CreatePenIndirect
45  0x004493c4 NONE FUNC gdi32.dll    CreatePalette
46  0x004493c8 NONE FUNC gdi32.dll    CreateHalftonePalette
47  0x004493cc NONE FUNC gdi32.dll    CreateFontIndirectA
48  0x004493d0 NONE FUNC gdi32.dll    CreateDIBitmap
49  0x004493d4 NONE FUNC gdi32.dll    CreateDIBSection
50  0x004493d8 NONE FUNC gdi32.dll    CreateCompatibleDC
51  0x004493dc NONE FUNC gdi32.dll    CreateCompatibleBitmap
52  0x004493e0 NONE FUNC gdi32.dll    CreateBrushIndirect
53  0x004493e4 NONE FUNC gdi32.dll    CreateBitmap
54  0x004493e8 NONE FUNC gdi32.dll    BitBlt
1   0x004493f0 NONE FUNC user32.dll   WindowFromPoint
2   0x004493f4 NONE FUNC user32.dll   WinHelpA
3   0x004493f8 NONE FUNC user32.dll   WaitMessage
4   0x004493fc NONE FUNC user32.dll   UpdateWindow
5   0x00449400 NONE FUNC user32.dll   UnregisterClassA
6   0x00449404 NONE FUNC user32.dll   UnhookWindowsHookEx
7   0x00449408 NONE FUNC user32.dll   TranslateMessage
8   0x0044940c NONE FUNC user32.dll   TranslateMDISysAccel
9   0x00449410 NONE FUNC user32.dll   TrackPopupMenu
10  0x00449414 NONE FUNC user32.dll   SystemParametersInfoA
11  0x00449418 NONE FUNC user32.dll   ShowWindow
12  0x0044941c NONE FUNC user32.dll   ShowScrollBar
13  0x00449420 NONE FUNC user32.dll   ShowOwnedPopups
14  0x00449424 NONE FUNC user32.dll   ShowCursor
15  0x00449428 NONE FUNC user32.dll   SetWindowsHookExA
16  0x0044942c NONE FUNC user32.dll   SetWindowPos
17  0x00449430 NONE FUNC user32.dll   SetWindowPlacement
18  0x00449434 NONE FUNC user32.dll   SetWindowLongA
19  0x00449438 NONE FUNC user32.dll   SetTimer
20  0x0044943c NONE FUNC user32.dll   SetScrollRange
21  0x00449440 NONE FUNC user32.dll   SetScrollPos
22  0x00449444 NONE FUNC user32.dll   SetScrollInfo
23  0x00449448 NONE FUNC user32.dll   SetRect
24  0x0044944c NONE FUNC user32.dll   SetPropA
25  0x00449450 NONE FUNC user32.dll   SetMenuItemInfoA
26  0x00449454 NONE FUNC user32.dll   SetMenu
27  0x00449458 NONE FUNC user32.dll   SetForegroundWindow
28  0x0044945c NONE FUNC user32.dll   SetFocus
29  0x00449460 NONE FUNC user32.dll   SetCursor
30  0x00449464 NONE FUNC user32.dll   SetClassLongA
31  0x00449468 NONE FUNC user32.dll   SetCapture
32  0x0044946c NONE FUNC user32.dll   SetActiveWindow
33  0x00449470 NONE FUNC user32.dll   SendMessageA
34  0x00449474 NONE FUNC user32.dll   ScrollWindow
35  0x00449478 NONE FUNC user32.dll   ScreenToClient
36  0x0044947c NONE FUNC user32.dll   RemovePropA
37  0x00449480 NONE FUNC user32.dll   RemoveMenu
