nth vaddr      bind type lib          name
30  0x027b0490 NONE FUNC gdi32.dll    RectVisible
31  0x027b0494 NONE FUNC gdi32.dll    RealizePalette
32  0x027b0498 NONE FUNC gdi32.dll    Polyline
33  0x027b049c NONE FUNC gdi32.dll    Polygon
34  0x027b04a0 NONE FUNC gdi32.dll    PolyPolyline
35  0x027b04a4 NONE FUNC gdi32.dll    PlayEnhMetaFile
36  0x027b04a8 NONE FUNC gdi32.dll    Pie
37  0x027b04ac NONE FUNC gdi32.dll    PatBlt
38  0x027b04b0 NONE FUNC gdi32.dll    MoveToEx
39  0x027b04b4 NONE FUNC gdi32.dll    MaskBlt
40  0x027b04b8 NONE FUNC gdi32.dll    LineTo
41  0x027b04bc NONE FUNC gdi32.dll    LPtoDP
42  0x027b04c0 NONE FUNC gdi32.dll    IntersectClipRect
43  0x027b04c4 NONE FUNC gdi32.dll    GetWindowOrgEx
44  0x027b04c8 NONE FUNC gdi32.dll    GetWinMetaFileBits
45  0x027b04cc NONE FUNC gdi32.dll    GetTextMetricsA
46  0x027b04d0 NONE FUNC gdi32.dll    GetTextExtentPointA
47  0x027b04d4 NONE FUNC gdi32.dll    GetTextExtentPoint32A
48  0x027b04d8 NONE FUNC gdi32.dll    GetTextAlign
49  0x027b04dc NONE FUNC gdi32.dll    GetSystemPaletteEntries
50  0x027b04e0 NONE FUNC gdi32.dll    GetStockObject
51  0x027b04e4 NONE FUNC gdi32.dll    GetPixel
52  0x027b04e8 NONE FUNC gdi32.dll    GetPaletteEntries
53  0x027b04ec NONE FUNC gdi32.dll    GetObjectA
54  0x027b04f0 NONE FUNC gdi32.dll    GetMapMode
55  0x027b04f4 NONE FUNC gdi32.dll    GetEnhMetaFilePaletteEntries
56  0x027b04f8 NONE FUNC gdi32.dll    GetEnhMetaFileHeader
57  0x027b04fc NONE FUNC gdi32.dll    GetEnhMetaFileBits
58  0x027b0500 NONE FUNC gdi32.dll    GetDeviceCaps
59  0x027b0504 NONE FUNC gdi32.dll    GetDIBits
60  0x027b0508 NONE FUNC gdi32.dll    GetDIBColorTable
61  0x027b050c NONE FUNC gdi32.dll    GetDCOrgEx
62  0x027b0510 NONE FUNC gdi32.dll    GetCurrentPositionEx
63  0x027b0514 NONE FUNC gdi32.dll    GetClipBox
64  0x027b0518 NONE FUNC gdi32.dll    GetBrushOrgEx
65  0x027b051c NONE FUNC gdi32.dll    GetBkMode
66  0x027b0520 NONE FUNC gdi32.dll    GetBkColor
67  0x027b0524 NONE FUNC gdi32.dll    GetBitmapBits
68  0x027b0528 NONE FUNC gdi32.dll    GdiFlush
69  0x027b052c NONE FUNC gdi32.dll    ExtTextOutA
70  0x027b0530 NONE FUNC gdi32.dll    ExtSelectClipRgn
71  0x027b0534 NONE FUNC gdi32.dll    ExtCreatePen
72  0x027b0538 NONE FUNC gdi32.dll    ExcludeClipRect
73  0x027b053c NONE FUNC gdi32.dll    EndPage
74  0x027b0540 NONE FUNC gdi32.dll    EndDoc
75  0x027b0544 NONE FUNC gdi32.dll    Ellipse
76  0x027b0548 NONE FUNC gdi32.dll    DeleteObject
77  0x027b054c NONE FUNC gdi32.dll    DeleteEnhMetaFile
78  0x027b0550 NONE FUNC gdi32.dll    DeleteDC
79  0x027b0554 NONE FUNC gdi32.dll    CreateSolidBrush
80  0x027b0558 NONE FUNC gdi32.dll    CreateRectRgn
81  0x027b055c NONE FUNC gdi32.dll    CreatePolygonRgn
82  0x027b0560 NONE FUNC gdi32.dll    CreatePenIndirect
83  0x027b0564 NONE FUNC gdi32.dll    CreatePalette
84  0x027b0568 NONE FUNC gdi32.dll    CreateICA
85  0x027b056c NONE FUNC gdi32.dll    CreateHalftonePalette
86  0x027b0570 NONE FUNC gdi32.dll    CreateFontIndirectA
87  0x027b0574 NONE FUNC gdi32.dll    CreateDIBitmap
88  0x027b0578 NONE FUNC gdi32.dll    CreateDIBSection
89  0x027b057c NONE FUNC gdi32.dll    CreateDCA
90  0x027b0580 NONE FUNC gdi32.dll    CreateCompatibleDC
91  0x027b0584 NONE FUNC gdi32.dll    CreateCompatibleBitmap
92  0x027b0588 NONE FUNC gdi32.dll    CreateBrushIndirect
93  0x027b058c NONE FUNC gdi32.dll    CreateBitmap
94  0x027b0590 NONE FUNC gdi32.dll    CopyEnhMetaFileA
95  0x027b0594 NONE FUNC gdi32.dll    BitBlt
96  0x027b0598 NONE FUNC gdi32.dll    Arc
97  0x027b059c NONE FUNC gdi32.dll    AbortDoc
1   0x027b05a4 NONE FUNC user32.dll   CreateWindowExA
2   0x027b05a8 NONE FUNC user32.dll   WindowFromPoint
3   0x027b05ac NONE FUNC user32.dll   WinHelpA
4   0x027b05b0 NONE FUNC user32.dll   WaitMessage
5   0x027b05b4 NONE FUNC user32.dll   ValidateRect
6   0x027b05b8 NONE FUNC user32.dll   UpdateWindow
7   0x027b05bc NONE FUNC user32.dll   UnregisterClassA
8   0x027b05c0 NONE FUNC user32.dll   UnionRect
9   0x027b05c4 NONE FUNC user32.dll   UnhookWindowsHookEx
10  0x027b05c8 NONE FUNC user32.dll   TranslateMessage
11  0x027b05cc NONE FUNC user32.dll   TranslateMDISysAccel
12  0x027b05d0 NONE FUNC user32.dll   TrackPopupMenu
13  0x027b05d4 NONE FUNC user32.dll   SystemParametersInfoA
14  0x027b05d8 NONE FUNC user32.dll   ShowWindow
15  0x027b05dc NONE FUNC user32.dll   ShowScrollBar
16  0x027b05e0 NONE FUNC user32.dll   ShowOwnedPopups
17  0x027b05e4 NONE FUNC user32.dll   ShowCursor
18  0x027b05e8 NONE FUNC user32.dll   SetWindowsHookExA
19  0x027b05ec NONE FUNC user32.dll   SetWindowTextA
20  0x027b05f0 NONE FUNC user32.dll   SetWindowPos
21  0x027b05f4 NONE FUNC user32.dll   SetWindowPlacement
22  0x027b05f8 NONE FUNC user32.dll   SetWindowLongA
23  0x027b05fc NONE FUNC user32.dll   SetTimer
24  0x027b0600 NONE FUNC user32.dll   SetScrollRange
25  0x027b0604 NONE FUNC user32.dll   SetScrollPos
26  0x027b0608 NONE FUNC user32.dll   SetScrollInfo
27  0x027b060c NONE FUNC user32.dll   SetRect
28  0x027b0610 NONE FUNC user32.dll   SetPropA
29  0x027b0614 NONE FUNC user32.dll   SetParent
30  0x027b0618 NONE FUNC user32.dll   SetMenuItemInfoA
31  0x027b061c NONE FUNC user32.dll   SetMenu
32  0x027b0620 NONE FUNC user32.dll   SetKeyboardState
33  0x027b0624 NONE FUNC user32.dll   SetForegroundWindow
34  0x027b0628 NONE FUNC user32.dll   SetFocus
35  0x027b062c NONE FUNC user32.dll   SetCursor
36  0x027b0630 NONE FUNC user32.dll   SetClipboardData
37  0x027b0634 NONE FUNC user32.dll   SetClassLongA
38  0x027b0638 NONE FUNC user32.dll   SetCapture
39  0x027b063c NONE FUNC user32.dll   SetActiveWindow
40  0x027b0640 NONE FUNC user32.dll   SendMessageA
41  0x027b0644 NONE FUNC user32.dll   ScrollWindowEx
42  0x027b0648 NONE FUNC user32.dll   ScrollWindow
43  0x027b064c NONE FUNC user32.dll   ScreenToClient
44  0x027b0650 NONE FUNC user32.dll   RemovePropA
45  0x027b0654 NONE FUNC user32.dll   RemoveMenu
46  0x027b0658 NONE FUNC user32.dll   ReleaseDC
47  0x027b065c NONE FUNC user32.dll   ReleaseCapture
48  0x027b0660 NONE FUNC user32.dll   RegisterWindowMessageA
49  0x027b0664 NONE FUNC user32.dll   RegisterClipboardFormatA
50  0x027b0668 NONE FUNC user32.dll   RegisterClassA
51  0x027b066c NONE FUNC user32.dll   RedrawWindow
52  0x027b0670 NONE FUNC user32.dll   PtInRect
53  0x027b0674 NONE FUNC user32.dll   PostQuitMessage
54  0x027b0678 NONE FUNC user32.dll   PostMessageA
55  0x027b067c NONE FUNC user32.dll   PeekMessageA
56  0x027b0680 NONE FUNC user32.dll   OpenClipboard
57  0x027b0684 NONE FUNC user32.dll   OffsetRect
58  0x027b0688 NONE FUNC user32.dll   OemToCharA
59  0x027b068c NONE FUNC user32.dll   MsgWaitForMultipleObjects
60  0x027b0284 NONE FUNC user32.dll   MessageBoxA
61  0x027b0694 NONE FUNC user32.dll   MessageBeep
62  0x027b0698 NONE FUNC user32.dll   MapWindowPoints
63  0x027b069c NONE FUNC user32.dll   MapVirtualKeyA
64  0x027b0280 NONE FUNC user32.dll   LoadStringA
65  0x027b06a4 NONE FUNC user32.dll   LoadKeyboardLayoutA
66  0x027b06a8 NONE FUNC user32.dll   LoadIconA
67  0x027b06ac NONE FUNC user32.dll   LoadCursorA
68  0x027b06b0 NONE FUNC user32.dll   LoadBitmapA
69  0x027b06b4 NONE FUNC user32.dll   KillTimer
70  0x027b06b8 NONE FUNC user32.dll   IsZoomed
71  0x027b06bc NONE FUNC user32.dll   IsWindowVisible
72  0x027b06c0 NONE FUNC user32.dll   IsWindowEnabled
73  0x027b06c4 NONE FUNC user32.dll   IsWindow
74  0x027b06c8 NONE FUNC user32.dll   IsRectEmpty
75  0x027b06cc NONE FUNC user32.dll   IsIconic
76  0x027b06d0 NONE FUNC user32.dll   IsDialogMessageA
77  0x027b06d4 NONE FUNC user32.dll   IsChild
